생산일자,시작시간,종료시간,생산수량(포),생산중량(kg),포당단가(원),일일생산금액(원),연도,월
2025-12-01,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-02,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-03,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-04,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-05,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-06,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-08,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-09,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-10,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-11,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-12,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-13,08:00,18:00,2260,45200,3300,7458000,2025,12
2025-12-15,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-16,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-17,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-18,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-19,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-20,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-22,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-23,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-24,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-26,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-27,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-29,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-30,08:00,18:00,2259,45180,3300,7454700,2025,12
2025-12-31,08:00,18:00,2259,45180,3300,7454700,2025,12
2026-01-02,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-03,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-05,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-06,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-07,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-08,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-09,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-10,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-12,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-13,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-14,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-15,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-16,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-17,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-19,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-20,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-21,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-22,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-23,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-24,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-26,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-27,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-28,08:00,18:00,1999,39980,3300,6596700,2026,1
2026-01-29,08:00,18:00,1998,39960,3300,6593400,2026,1
2026-01-30,08:00,18:00,1998,39960,3300,6593400,2026,1
2026-01-31,08:00,18:00,1998,39960,3300,6593400,2026,1
2026-02-02,08:00,18:00,2799,55980,3300,9236700,2026,2
2026-02-03,08:00,18:00,2799,55980,3300,9236700,2026,2
2026-02-04,08:00,18:00,2799,55980,3300,9236700,2026,2
2026-02-05,08:00,18:00,2799,55980,3300,9236700,2026,2
2026-02-06,08:00,18:00,2799,55980,3300,9236700,2026,2
2026-02-07,08:00,18:00,2799,55980,3300,9236700,2026,2
2026-02-09,08:00,18:00,2799,55980,3300,9236700,2026,2
2026-02-10,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-11,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-12,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-13,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-14,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-19,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-20,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-21,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-23,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-24,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-25,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-26,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-27,08:00,18:00,2798,55960,3300,9233400,2026,2
2026-02-28,08:00,18:00,2798,55960,3300,9233400,2026,2
